segment angle (rad),along block,time (s),central distance (cm/s),left wheel (cm/s),right wheel (cm/s)
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-2.166451842160607,0.0,2.9854765725827597,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.2747888158720797,0.0,1.7567213222616698,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-2.231413225233257,0.0,3.074996534906295,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.2186956032270941,0.0,1.679422132418846,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-2.3071877721255163,0.0,3.1794175657099624,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.0607167721682904,0.0,1.4617195784494494,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-2.2550893692654843,0.0,3.1076234190870284,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.3407637040357612,0.0,1.8476379441585145,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-2.199491591629938,0.0,3.031006962912747,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.163182693671609,0.0,1.6029226286087264,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-2.326644930028273,0.0,3.2062304807063975,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.1449458342886552,0.0,1.57779134464213,0.0,-2.57610597594363,2.57610597594363
