segment angle (rad),along block,time (s),central distance (cm/s),left wheel (cm/s),right wheel (cm/s)
0.0,1.0,1.6895358252609345,11.153084798565462,6.601271563355552,6.601271563355552
0.7853981633974483,0.0,0.9637120761451518,3.5735616434583894,0.0,6.601271563355552
0.0,0.0,0.12854010462683252,0.8485281374238569,6.601271563355552,6.601271563355552
0.5697564534829784,0.0,0.6991118648762602,2.592391863347552,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.5373922643111122,0.0,0.6593998291303984,2.4451348026155606,0.0,6.601271563355552
0.0,0.0,0.1437122058902664,0.9486832980505138,6.601271563355552,6.601271563355552
0.36592070164208734,0.0,0.4489979930161017,1.6649391924714974,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.4649007411769377,0.0,0.5704500969838938,2.1152983723550665,0.0,6.601271563355552
0.0,0.0,0.14919637386936618,0.9848857801796104,6.601271563355552,6.601271563355552
0.528881550753125,0.0,0.6489568744423391,2.4064110559267187,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.2110933332227467,0.0,0.25901918784796907,0.9604746661634974,0.0,6.601271563355552
0.0,0.0,0.1437122058902664,0.9486832980505138,6.601271563355552,6.601271563355552
0.2484874206574026,0.0,0.30490309147376493,1.1306177639911819,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.29193207961318146,0.0,0.3582112661435145,1.3282909622399757,0.0,6.601271563355552
0.0,0.0,0.1396631598747078,0.9219544457292888,6.601271563355552,6.601271563355552
0.31952904107239166,0.0,0.3920737403159867,1.453857136879382,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.1441185679284145,0.0,0.1768387179676586,0.6557394840742858,0.0,6.601271563355552
0.0,0.0,0.12491852777290706,0.8246211251235321,6.601271563355552,6.601271563355552
0.3373079978584632,0.0,0.41388916611464555,1.5347513902560075,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.4268167795149238,0.0,0.5237196926213885,1.9420163467929032,0.0,6.601271563355552
0.0,0.0,0.12213189036265537,0.8062257748298549,6.601271563355552,6.601271563355552
0.43788011753180545,0.0,0.5372948102448164,1.9923545347697147,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.6137700950165683,0.0,0.7531182018373254,2.792653932325386,0.0,6.601271563355552
0.0,0.0,0.12118877284808213,0.8,6.601271563355552,6.601271563355552
0.40122879900484876,0.0,0.4923223110499126,1.8255910354720617,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
1.3347162052046748,0.0,1.6377452674681856,6.07295873368127,0.0,6.601271563355552
0.0,0.0,0.27643594746492606,1.8248287590894658,6.601271563355552,6.601271563355552
1.1105969799888933,0.0,1.3627428369781052,5.0532162589494645,0.0,6.601271563355552
0.0,1.0,2.1084216489831986,13.918263874996011,6.601271563355552,6.601271563355552
-2.328554617984842,0.0,1.252238877693472,0.0,500.0,-500.0
0.0,1.0,2.283097813643107,15.071348673561474,6.601271563355552,6.601271563355552
-0.5179873662135748,0.0,0.27856074885116,0.0,500.0,-500.0
