segment angle (rad),along block,time (s),central distance (cm/s),left wheel (cm/s),right wheel (cm/s)
0.0,1.0,1.8056021644285516,11.919270222775433,6.601271563355552,6.601271563355552
1.1071487177940904,0.0,1.3585116940066584,5.037526665963111,0.0,6.601271563355552
0.0,0.0,0.2709863341980925,1.788854381999832,6.601271563355552,6.601271563355552
0.9272952180016123,0.0,1.1378249165672907,4.219193241907336,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.6000502134017536,0.0,0.7362834087200567,2.7302284709779787,0.0,6.601271563355552
0.0,0.0,0.15596434781049268,1.0295630140987,6.601271563355552,6.601271563355552
0.6280012686950283,0.0,0.7705803688894153,2.8574057725623785,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.437696551040871,0.0,0.5370695674923712,1.9915193072359632,0.0,6.601271563355552
0.0,0.0,0.14291157455823755,0.9433981132056604,6.601271563355552,6.601271563355552
0.5402508377658584,0.0,0.6629074025973009,2.4581413118346553,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
0.22696751055861153,0.0,0.27849738006994534,1.0327021730416823,0.0,6.601271563355552
0.0,0.0,0.12491852777290706,0.8246211251235321,6.601271563355552,6.601271563355552
0.4116424908972076,0.0,0.5051002892800991,1.8729733335822947,0.0,6.601271563355552
0.0,1.0,1.5148596606010265,10.0,6.601271563355552,6.601271563355552
1.2294603000163136,0.0,1.5085924483721707,5.594044365074226,0.0,6.601271563355552
0.0,0.0,0.2615053226632767,1.7262676501632068,6.601271563355552,6.601271563355552
1.0721810709281177,0.0,1.3156051210993007,4.878423872722935,0.0,6.601271563355552
0.0,1.0,1.2241171567735016,8.080729777224567,6.601271563355552,6.601271563355552
-0.897508871919878,0.0,0.4826579947115496,0.0,6.601271563355552,-6.601271563355552
