leftDeltaDistance,rightDeltaDistance,leftSpeed,rightSpeed,time,P,I,D
118,104,10,50,103.651725,296.348275,503.651725,0
119,169,10,50,168.648119,231.351881,568.648119,0
120,117,10,50,116.645623,283.354377,516.645623,0
121,83.2,10,50,82.843849,317.156151,482.843849,0
122,195,10,50,194.639689,205.360311,594.639689,0
123,98.8,10,50,98.437581,301.562419,498.437581,0
124,119.6,10,50,119.235029,280.764971,519.235029,0
125,109.2,10,50,108.8327,291.1673,508.8327,0
126,46.8,10,50,46.431701,353.568299,446.431701,0
127,65,10,50,64.630315,335.369685,464.630315,0
128,98.8,10,50,98.428207,301.571793,498.428207,0
129,184.6,10,50,184.224269,215.775731,584.224269,0
130,254.8,10,50,254.418833,-254.418833,254.418833,0
131,678.6,10,50,678.204356,-678.204356,678.204356,0
132,1541.8,10,50,1541.371465,-1541.371465,1541.371465,0
133,1781,10,50,1780.53347,-1780.53347,1780.53347,0
134,1193.4,10,50,1192.908011,-1192.908011,1192.908011,0
135,1326,10,50,1325.479723,-1325.479723,1325.479723,0
136,1692.6,10,50,1692.043614,-1692.043614,1692.043614,0
137,1692.6,10,50,1692.007505,-1692.007505,1692.007505,0
138,1747.2,10,50,1746.570231,-1746.570231,1746.570231,0
139,2002,10,50,2001.327522,-2001.327522,2001.327522,0
140,1978.6,10,50,1977.885312,-1977.885312,1977.885312,0
141,1864.2,10,50,1863.445542,-1863.445542,1863.445542,0
142,1973.4,10,50,1972.603443,-1972.603443,1972.603443,0
143,2090.4,10,50,2089.558848,-2089.558848,2089.558848,0
144,2168.4,10,50,2167.512589,-2167.512589,2167.512589,0
145,1968.2,10,50,1967.270601,-1967.270601,1967.270601,0
146,1809.6,10,50,1808.631996,-1808.631996,1808.631996,0
147,1965.6,10,50,1964.590063,-1964.590063,1964.590063,0
148,1918.8,10,50,1917.749129,-1917.749129,1917.749129,0
149,1898,10,50,1896.908638,-1896.908638,1896.908638,0
150,1820,10,50,1818.869811,-1818.869811,1818.869811,0
151,1463.8,10,50,1462.638583,-1462.638583,1462.638583,0
152,1645.8,10,50,1644.603473,-1644.603473,1644.603473,0
153,1671.8,10,50,1670.567808,-1670.567808,1670.567808,0
154,1609.4,10,50,1608.133474,-1608.133474,1608.133474,0
155,1362.4,10,50,1361.10441,-1361.10441,1361.10441,0
156,1497.6,10,50,1496.272461,-1496.272461,1496.272461,0
157,1450.8,10,50,1449.44151,-1449.44151,1449.44151,0
158,1411.8,10,50,1410.411392,-1410.411392,1410.411392,0
159,1222,10,50,1220.585323,-1220.585323,1220.585323,0
160,1419.6,10,50,1418.155038,-1418.155038,1418.155038,0
161,988,10,50,986.533961,-986.533961,986.533961,0
162,1027,10,50,1025.512051,-1025.512051,1025.512051,0
163,977.6,10,50,976.091196,-976.091196,976.091196,0
164,1198.6,10,50,1197.065626,-1197.065626,1197.065626,0
165,1027,10,50,1025.443716,-1025.443716,1025.443716,0
166,954.2,10,50,952.62336,-952.62336,952.62336,0
167,871,10,50,869.404779,-869.404779,869.404779,0
168,907.4,10,50,905.785421,-905.785421,905.785421,0
169,655.2,10,50,653.571443,-653.571443,653.571443,0
170,832,10,50,830.353694,-830.353694,830.353694,0
171,759.2,10,50,757.537498,-757.537498,757.537498,0
172,733.2,10,50,731.521856,-731.521856,731.521856,0
173,551.2,10,50,549.510097,-549.510097,549.510097,0
174,582.4,10,50,580.697673,-580.697673,580.697673,0
175,483.6,10,50,481.887356,-481.887356,481.887356,0
176,418.6,10,50,416.878426,-416.878426,416.878426,0
177,449.8,10,50,448.06883,-448.06883,448.06883,0
178,496.6,10,50,494.858236,-494.858236,494.858236,0
179,462.8,10,50,461.048363,-461.048363,461.048363,0
180,455,10,50,453.238656,-453.238656,453.238656,0
181,496.6,10,50,494.828062,-494.828062,494.828062,0
182,475.8,10,50,474.017911,-474.017911,474.017911,0
183,478.4,10,50,476.607706,-476.607706,476.607706,0
184,494,10,50,492.197167,-492.197167,492.197167,0
185,548.6,10,50,546.785463,-546.785463,546.785463,0
186,546,10,50,544.173815,-544.173815,544.173815,0
187,540.8,10,50,538.962278,-538.962278,538.962278,0
188,449.8,10,50,447.952683,-447.952683,447.952683,0
189,543.4,10,50,541.54109,-541.54109,541.54109,0
190,522.6,10,50,520.729941,-520.729941,520.729941,0
