line,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,
75,89,97,97,113,117,117,125,133,133,133,137,138,138,138,138,142,142,150,138,142,146,154,142,138,146,142,138,138,146,142,138,138,141,142,138,138,142,146,146,150,154,150,154,154,154,158,158,170,166,170,174,174,174,170,174,166,166,174,170,174,174,178,174,170,166,174,166,170,166,170,182,178,186,186,186,174,186,186,182,186,186,166,174,186,182,174,182,174,178,174,178,178,174,174,174,178,174,174,174,170,170,174,162,162,166,170,166,166,162,158,154,150,154,158,158,150,154,158,158,158,154,154,154,154,146,138,150,150,150,158,154,154,154,146,142,141,146,142,137,129,129,129,129,133,125,133,133,133,125,125,125,121,125,125,117,117,113,109,109,109,
76,73,89,89,101,105,121,113,109,121,137,138,133,133,134,138,138,138,142,142,138,142,142,134,146,146,138,133,121,129,138,129,129,121,129,125,129,133,138,142,141,142,146,146,146,150,154,154,150,166,158,162,170,170,162,166,166,170,162,158,174,170,174,170,174,174,166,170,170,166,170,178,178,182,182,182,178,174,182,182,182,178,174,174,182,186,182,186,178,182,182,178,178,174,178,182,178,178,178,174,166,166,166,162,162,154,174,150,162,162,158,154,150,154,158,158,158,158,158,162,154,154,154,154,150,150,146,146,150,150,150,154,150,142,142,150,142,142,137,137,133,137,133,129,129,129,125,129,129,121,121,121,121,121,117,117,117,113,109,109,109,
77,64,68,73,69,93,101,105,113,117,121,121,125,125,133,133,133,133,134,129,130,138,142,146,133,138,129,129,121,125,129,133,129,125,117,121,125,129,133,129,133,129,137,141,133,142,138,142,146,150,150,150,158,162,158,166,166,158,162,162,174,170,166,170,170,170,166,166,162,150,170,170,174,178,178,170,178,178,186,186,182,174,166,170,170,170,174,178,182,182,178,178,178,178,170,178,178,174,166,174,166,154,162,166,158,150,154,162,166,166,162,154,162,158,154,150,158,154,154,158,150,154,154,154,146,150,150,146,150,150,146,146,146,142,137,133,137,137,129,137,137,137,133,125,129,129,129,121,121,121,117,125,121,117,117,117,117,113,109,109,109,
78,56,56,64,64,64,73,81,89,97,105,105,113,121,121,125,129,125,129,133,129,129,125,129,133,129,125,129,121,117,121,113,117,117,117,117,113,113,125,125,129,129,129,133,133,141,133,134,138,142,142,146,150,150,158,154,162,158,158,158,158,154,162,162,158,154,158,162,162,150,162,162,166,170,170,166,174,178,182,182,186,178,170,174,170,178,170,174,178,178,182,178,178,178,178,178,178,178,174,174,170,162,154,166,166,158,158,154,166,166,162,158,154,158,150,158,158,154,154,154,154,154,150,150,150,142,146,146,150,150,146,146,146,150,142,142,137,134,133,133,138,137,133,125,117,125,125,125,121,121,117,117,121,121,117,117,113,117,109,105,105,
79,105,56,52,52,52,52,60,77,81,81,93,109,105,113,117,125,121,113,121,125,129,129,117,121,125,121,117,117,117,121,117,117,113,109,109,109,113,113,121,117,125,121,121,121,125,129,133,133,137,142,146,142,146,146,154,154,154,154,154,154,150,150,154,154,150,150,158,154,142,154,162,162,162,162,162,166,178,178,178,170,170,174,170,174,170,170,170,178,178,170,178,174,174,166,170,178,170,174,174,166,166,154,158,158,166,150,154,154,158,158,154,146,158,154,158,158,154,154,154,150,150,150,150,146,146,146,150,137,150,142,146,142,142,142,142,137,129,129,137,133,133,133,129,125,121,121,121,121,117,121,117,121,121,113,113,113,109,105,105,101,
80,60,60,60,56,52,48,44,48,40,60,60,64,73,85,89,97,101,109,113,117,113,121,117,117,117,113,117,113,113,117,113,109,117,113,105,97,89,97,105,101,109,113,113,125,129,121,125,129,133,133,138,138,138,138,146,142,142,142,138,138,146,142,146,150,142,142,150,150,146,150,158,162,158,158,162,170,174,174,178,174,174,170,170,166,166,166,166,174,178,178,166,182,174,170,166,170,170,166,166,166,162,158,162,162,158,158,158,154,146,158,150,154,154,154,154,162,150,150,146,150,142,146,150,150,150,142,142,138,137,150,142,142,138,137,137,138,133,133,137,129,129,129,129,125,121,113,117,121,121,117,117,117,117,117,113,113,113,109,109,101,
81,44,52,48,48,44,48,44,48,48,48,48,48,44,48,52,52,52,60,52,56,69,77,77,85,85,89,89,89,93,97,101,105,101,85,85,85,69,81,85,93,93,97,97,105,109,113,121,125,117,125,125,133,129,134,129,137,133,142,130,138,133,134,142,142,138,133,142,146,138,146,150,146,154,154,154,162,166,170,166,166,170,166,166,170,162,162,162,166,174,178,174,174,170,170,174,166,170,166,178,162,162,158,162,170,166,162,154,158,154,150,158,154,154,154,154,150,142,146,150,146,134,138,146,150,150,142,142,137,133,137,150,142,137,133,133,133,138,134,129,129,125,125,129,125,121,121,121,121,117,117,113,113,113,117,113,109,113,105,105,101,
82,36,44,44,44,40,40,44,44,44,44,44,48,44,44,44,48,48,48,48,48,48,48,44,52,52,52,52,48,48,56,48,52,48,48,48,48,48,44,48,44,48,48,48,61,81,105,105,101,117,113,125,121,121,125,125,129,133,129,129,129,133,129,130,129,129,125,138,138,129,138,146,146,146,150,142,150,154,162,158,158,166,162,162,162,166,154,158,162,170,170,174,178,166,174,166,170,166,166,170,170,174,158,166,166,162,166,154,154,158,158,154,154,154,154,154,154,154,146,150,146,142,142,146,154,146,146,138,141,138,142,146,141,146,141,133,137,137,138,133,133,137,125,125,125,121,121,121,125,121,117,121,121,121,117,113,109,109,105,105,101,
83,44,44,44,44,44,44,44,44,44,44,44,44,40,44,44,48,48,48,44,44,44,48,44,44,48,44,44,44,48,44,48,48,48,44,44,48,48,48,48,48,48,48,44,48,48,48,52,56,81,97,105,105,113,113,117,121,125,125,125,121,129,125,121,125,125,121,134,137,129,125,134,142,138,142,142,150,146,150,154,158,158,158,154,154,162,162,162,158,158,166,162,170,170,166,166,166,170,162,162,166,162,158,162,166,166,158,166,162,162,146,150,154,154,146,154,154,154,154,150,142,146,146,150,146,145,146,150,146,142,146,146,145,146,142,133,137,133,129,133,133,129,138,121,129,129,121,125,121,113,121,121,117,113,117,121,113,109,105,101,105,
84,40,40,44,44,44,44,40,40,48,44,44,44,48,40,44,40,44,44,44,44,44,44,44,44,44,44,48,44,44,44,44,44,44,44,44,44,44,44,44,44,44,52,44,48,44,44,48,44,48,48,60,52,77,97,113,105,113,117,129,125,125,121,125,121,121,121,125,121,121,125,129,129,134,133,138,138,137,133,146,138,150,154,158,150,154,154,150,154,158,158,162,162,158,158,166,162,162,162,158,158,162,154,162,162,162,154,158,158,158,162,150,146,154,154,154,150,150,150,150,150,150,146,142,146,142,142,142,142,133,138,142,142,142,142,138,137,133,129,125,129,133,133,121,133,129,129,121,117,117,113,121,113,113,113,117,113,109,105,109,97,
