line,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,
5,224,216,224,224,224,232,224,224,224,224,224,224,224,232,224,232,232,224,224,224,232,232,232,224,232,232,232,232,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,232,240,232,232,232,232,232,232,240,232,232,240,240,240,240,240,232,240,240,240,240,240,232,240,240,240,240,240,240,232,232,240,232,232,232,240,240,232,232,224,240,240,240,240,232,232,240,232,240,240,232,224,232,232,232,240,224,224,224,224,208,208,216,200,208,192,184,192,184,176,176,168,168,144,160,144,160,168,152,152,136,80,72,64,72,72,64,72,72,64,72,72,64,72,64,64,72,64,72,72,64,72,72,64,64,56,
6,224,224,224,224,224,224,224,224,224,224,232,224,224,224,224,224,232,224,224,224,232,224,224,232,232,232,232,232,232,232,232,232,232,224,232,232,232,232,232,232,232,232,232,232,232,232,240,232,232,232,232,232,232,232,232,232,232,232,232,240,232,232,232,240,240,240,232,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,232,232,240,240,240,240,240,240,240,232,240,232,232,232,232,232,232,232,232,232,240,240,232,240,232,232,240,232,240,232,224,208,224,208,216,208,208,200,200,192,184,184,184,176,168,176,168,160,168,160,152,152,144,128,80,80,80,80,80,72,80,72,72,72,72,72,72,64,64,64,72,64,72,64,64,64,56,48,
7,224,224,224,224,232,232,224,224,224,232,224,232,232,232,224,232,232,232,232,232,224,232,232,224,232,224,224,232,232,224,232,232,232,232,232,224,232,240,232,232,232,232,240,232,232,232,232,240,232,240,240,240,240,240,232,232,240,232,232,232,232,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,232,232,232,240,240,232,240,240,240,240,240,240,232,232,240,240,232,240,232,232,232,232,232,232,232,240,240,240,232,232,240,232,240,240,232,224,224,224,216,208,208,208,200,200,192,192,192,192,184,176,176,176,176,168,160,160,160,152,152,88,88,80,80,88,88,80,72,72,72,72,72,80,64,72,64,72,72,64,72,72,64,56,48,
8,232,224,224,224,224,224,224,232,224,224,232,224,224,224,224,224,224,224,232,232,232,224,224,232,224,232,224,232,232,232,232,232,232,232,232,232,224,232,232,232,232,232,240,240,232,232,232,232,232,232,232,240,232,232,240,240,232,232,232,232,240,240,232,240,232,232,240,232,240,232,232,240,240,232,240,232,240,240,240,240,232,232,240,232,240,240,232,240,240,232,232,240,240,240,232,240,232,232,232,232,240,232,232,232,240,232,240,240,240,240,232,232,232,232,224,224,216,216,208,208,208,200,192,184,184,192,176,184,176,176,176,168,160,160,160,168,120,96,96,88,88,80,80,72,72,80,72,72,72,72,72,72,72,64,72,64,64,56,48,48,
9,224,224,224,232,224,232,224,224,224,224,232,224,232,232,232,224,224,232,224,224,232,224,232,232,224,232,232,232,232,224,232,232,232,232,232,232,232,232,232,232,232,240,240,232,240,240,240,240,240,232,232,232,232,232,232,240,240,240,232,240,240,232,232,240,232,240,232,232,240,240,240,240,240,240,240,232,240,240,240,232,232,240,240,232,240,240,240,240,240,240,240,232,240,240,232,232,240,232,232,232,240,232,232,240,240,240,240,240,240,240,240,240,240,216,224,216,216,216,208,208,216,200,192,192,184,184,184,176,176,176,168,168,160,160,152,176,104,88,88,88,88,80,72,80,72,72,72,80,72,72,72,72,80,72,72,64,72,48,48,48,
10,224,232,224,224,232,232,224,224,224,224,232,232,232,232,232,232,232,224,224,224,232,224,224,224,224,232,232,224,232,224,232,232,232,232,232,232,232,232,232,240,232,232,232,232,232,240,232,240,240,232,232,232,232,232,232,232,240,232,232,232,240,240,240,240,232,232,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,232,240,240,240,240,232,232,232,232,232,232,232,240,232,232,240,240,232,240,240,232,232,240,232,232,224,216,208,208,216,208,208,200,200,192,192,184,176,176,184,200,168,176,160,152,128,88,64,96,88,88,88,80,80,80,72,80,72,72,72,72,64,72,72,72,64,64,56,48,48,
11,224,224,232,224,224,224,232,232,224,232,224,232,232,232,232,224,224,232,232,232,232,232,232,232,232,224,224,232,232,232,232,232,232,232,232,232,240,232,232,232,240,240,232,240,240,240,240,240,240,240,232,240,232,240,240,240,240,240,240,240,240,232,232,232,232,232,240,240,240,240,240,240,240,240,240,240,240,240,240,232,232,240,240,240,240,240,240,240,240,240,240,232,240,232,232,240,240,240,240,240,240,240,232,240,232,240,240,240,240,240,240,232,240,232,232,232,224,224,208,224,208,200,200,208,192,192,184,200,160,112,88,136,128,136,128,120,88,72,80,96,88,88,80,80,80,72,72,72,80,72,72,80,72,72,72,72,56,48,48,64,
12,224,224,232,224,232,224,232,224,232,224,224,224,224,224,232,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,232,232,240,232,232,232,240,240,232,240,232,232,232,232,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,232,240,240,232,240,240,240,240,240,240,232,232,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,232,240,240,240,240,232,232,240,240,240,240,240,240,240,232,232,240,232,240,240,240,232,232,232,224,224,224,208,208,200,208,200,184,216,112,128,104,128,136,144,136,112,104,72,72,88,88,88,88,88,88,80,80,80,80,80,80,72,72,72,72,72,72,56,48,56,56,
13,224,224,224,224,232,224,224,224,224,232,224,224,232,224,232,224,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,240,240,232,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,232,232,232,240,240,240,240,240,240,232,232,240,240,240,240,232,224,224,224,216,208,208,216,192,192,224,120,120,136,120,120,144,152,80,120,88,88,88,64,64,96,88,88,80,80,80,80,72,72,72,80,72,72,72,72,56,56,56,56,48,
14,232,224,224,224,232,224,232,232,232,224,224,224,232,224,224,232,232,224,232,232,232,232,232,232,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,240,240,232,240,232,232,232,240,240,240,232,240,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,232,240,240,240,240,232,240,232,232,232,232,240,240,232,240,240,240,240,240,232,232,224,224,216,224,216,216,248,200,176,152,120,152,136,128,128,152,80,56,104,80,80,64,48,56,56,88,88,88,88,88,80,80,80,80,72,80,72,80,72,56,56,48,64,48,
15,224,232,232,232,232,232,232,224,224,224,232,232,224,224,224,232,224,232,224,240,232,232,232,232,232,232,240,240,232,232,232,232,232,232,232,232,232,232,240,240,240,232,232,240,232,240,240,232,240,240,232,232,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,232,232,240,232,240,240,240,240,232,240,240,240,240,240,240,240,224,224,216,232,216,232,192,184,152,112,136,160,120,120,152,96,56,56,104,80,72,48,48,64,48,72,88,88,88,88,80,80,80,80,80,80,72,72,64,56,56,56,56,48,
16,232,224,232,224,224,232,224,224,224,224,224,232,232,232,232,224,232,224,232,232,232,232,232,232,232,232,240,240,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,232,232,232,232,232,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,240,240,232,240,240,232,232,240,240,232,240,240,240,240,240,232,240,240,240,240,240,240,240,232,224,224,224,248,168,168,176,120,112,160,136,120,136,112,56,40,80,96,80,56,48,48,56,40,40,80,88,80,80,80,80,80,72,72,72,80,72,56,56,56,56,48,48,
17,224,224,224,224,224,224,232,232,232,224,232,224,232,224,224,232,232,232,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,240,232,240,232,232,232,232,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,232,232,232,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,232,232,232,240,240,240,232,240,240,232,232,240,248,240,240,240,240,232,240,232,232,232,224,192,168,168,144,128,152,160,136,136,120,56,48,48,104,96,80,48,48,48,56,40,32,64,80,88,88,88,88,88,80,80,80,80,72,56,56,64,56,48,48,
18,224,224,224,232,224,224,232,224,232,224,224,232,232,232,232,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,232,240,240,240,240,232,232,232,240,240,240,240,240,240,232,240,232,232,240,232,232,240,232,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,232,248,240,240,240,240,232,240,240,240,240,240,232,240,240,232,232,232,240,240,240,240,240,240,240,240,240,232,232,240,232,216,176,168,144,128,128,160,144,128,136,72,48,48,72,104,80,64,48,48,72,56,40,40,48,80,80,88,88,88,88,80,80,80,80,64,56,64,64,56,48,56,
19,232,224,232,232,224,232,240,224,224,224,232,232,224,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,232,232,240,232,232,240,232,240,240,240,240,240,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,232,240,232,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,232,232,224,216,184,152,152,136,128,160,160,136,120,80,48,48,56,80,104,72,56,48,48,80,56,32,40,40,56,72,88,88,88,88,88,88,88,80,64,64,72,64,48,56,56,
20,224,224,232,232,232,232,232,232,232,224,232,232,232,232,240,240,240,232,232,232,240,232,232,232,240,240,232,240,232,232,232,232,240,232,232,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,248,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,232,232,240,232,240,240,240,240,240,240,240,240,240,240,240,232,232,232,240,184,184,152,136,136,128,160,144,128,96,56,48,48,80,104,88,80,48,48,48,88,48,40,40,40,64,72,80,88,96,88,104,88,96,80,56,64,64,56,56,56,64,
