segment angle (rad),along block,time (s),central distance (cm/s),left wheel (cm/s),right wheel (cm/s)
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.198940252946315,0.0,1.652198293744633,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
2.5113987440452434,0.0,3.460830270421958,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.2150510041511846,0.0,1.6743996966804486,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
2.496321635140214,0.0,3.4400532771178494,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.3699067210661042,0.0,1.8877984466470898,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
2.548397218380219,0.0,3.511815977188563,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.1897974359319687,0.0,1.6395990448379414,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
2.5018228707631676,0.0,3.4476342488029648,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.2402483454044744,0.0,1.7091228650145511,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
2.4391885983507895,0.0,3.3613211587591842,0.0,-2.57610597594363,2.57610597594363
